Param1 Param2 Cluster distribution k Trace stats.attr Size Fraction
0.102892237715861 NA 8 exponential 10 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 9 exponential 10 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0865451401270934 NA 10 exponential 10 gwa-t1 bot_user_iat 1 0.00574712643678161
21.0040801276742 2.00300228471946 2 gamma 10 gwa-t1 bot_user_iat 17 0.0977011494252874
18.0926451535782 1.88541129126033 3 gamma 10 gwa-t1 bot_user_iat 41 0.235632183908046
19.3196901958688 1.94109522502345 4 gamma 10 gwa-t1 bot_user_iat 30 0.172413793103448
13.4506059290952 1.10021344280687 5 gamma 10 gwa-t1 bot_user_iat 4 0.0229885057471264
23.2340854923791 1.55738283973243 6 gamma 10 gwa-t1 bot_user_iat 1 0.00574712643678161
2.18579549896494 0.191685566464766 1 lognormal 10 gwa-t1 bot_user_iat 76 0.436781609195402
15.9915354598132 12.1145875311044 7 weibull 10 gwa-t1 bot_user_iat 1 0.00574712643678161
0.102892237715861 NA 9 exponential 11 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 10 exponential 11 gwa-t1 bot_user_iat 1 0.00574712643678161
31.1617231176334 3.01077894667324 2 gamma 11 gwa-t1 bot_user_iat 4 0.0229885057471264
18.0926451535782 1.88541129126033 3 gamma 11 gwa-t1 bot_user_iat 41 0.235632183908046
19.3196901958688 1.94109522502345 4 gamma 11 gwa-t1 bot_user_iat 30 0.172413793103448
13.8398579787682 1.2921860479611 5 gamma 11 gwa-t1 bot_user_iat 13 0.074712643678161
13.4506059290952 1.10021344280687 6 gamma 11 gwa-t1 bot_user_iat 4 0.0229885057471264
23.2340854923791 1.55738283973243 7 gamma 11 gwa-t1 bot_user_iat 1 0.00574712643678161
2.18579549896494 0.191685566464766 1 lognormal 11 gwa-t1 bot_user_iat 76 0.436781609195402
15.9915354598132 12.1145875311044 8 weibull 11 gwa-t1 bot_user_iat 1 0.00574712643678161
8.45043914466724 12.2594864410149 11 weibull 11 gwa-t1 bot_user_iat 1 0.00574712643678161
0.102892237715861 NA 10 exponential 12 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 11 exponential 12 gwa-t1 bot_user_iat 1 0.00574712643678161
24.5877073863021 2.69070554527156 1 gamma 12 gwa-t1 bot_user_iat 42 0.241379310344828
31.1617231176334 3.01077894667324 2 gamma 12 gwa-t1 bot_user_iat 4 0.0229885057471264
18.0926451535782 1.88541129126033 3 gamma 12 gwa-t1 bot_user_iat 41 0.235632183908046
19.3196901958688 1.94109522502345 4 gamma 12 gwa-t1 bot_user_iat 30 0.172413793103448
13.8398579787682 1.2921860479611 5 gamma 12 gwa-t1 bot_user_iat 13 0.074712643678161
24.1360485446727 2.69075884691428 6 gamma 12 gwa-t1 bot_user_iat 34 0.195402298850575
13.4506059290952 1.10021344280687 7 gamma 12 gwa-t1 bot_user_iat 4 0.0229885057471264
23.2340854923791 1.55738283973243 8 gamma 12 gwa-t1 bot_user_iat 1 0.00574712643678161
11.7454236629635 0.95603422670243 9 normal 12 gwa-t1 bot_user_iat 1 0.00574712643678161
8.45043914466724 12.2594864410149 12 weibull 12 gwa-t1 bot_user_iat 1 0.00574712643678161
0.102892237715861 NA 10 exponential 13 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 12 exponential 13 gwa-t1 bot_user_iat 1 0.00574712643678161
24.5877073863021 2.69070554527156 1 gamma 13 gwa-t1 bot_user_iat 42 0.241379310344828
35.4885065116837 3.44522956145961 2 gamma 13 gwa-t1 bot_user_iat 1 0.00574712643678161
18.0926451535782 1.88541129126033 3 gamma 13 gwa-t1 bot_user_iat 41 0.235632183908046
19.3196901958688 1.94109522502345 4 gamma 13 gwa-t1 bot_user_iat 30 0.172413793103448
13.8398579787682 1.2921860479611 5 gamma 13 gwa-t1 bot_user_iat 13 0.074712643678161
24.1360485446727 2.69075884691428 6 gamma 13 gwa-t1 bot_user_iat 34 0.195402298850575
13.4506059290952 1.10021344280687 7 gamma 13 gwa-t1 bot_user_iat 4 0.0229885057471264
23.2340854923791 1.55738283973243 8 gamma 13 gwa-t1 bot_user_iat 1 0.00574712643678161
22.1341129658224 2.10406851047871 11 gamma 13 gwa-t1 bot_user_iat 3 0.0172413793103448
15.9915354598132 12.1145875311044 9 weibull 13 gwa-t1 bot_user_iat 1 0.00574712643678161
8.45043914466724 12.2594864410149 13 weibull 13 gwa-t1 bot_user_iat 1 0.00574712643678161
0.102892237715861 NA 11 exponential 14 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 13 exponential 14 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0865451401270934 NA 14 exponential 14 gwa-t1 bot_user_iat 1 0.00574712643678161
24.419941850788 2.66979700662287 1 gamma 14 gwa-t1 bot_user_iat 40 0.229885057471264
35.4885065116837 3.44522956145961 2 gamma 14 gwa-t1 bot_user_iat 1 0.00574712643678161
18.0926451535782 1.88541129126033 3 gamma 14 gwa-t1 bot_user_iat 41 0.235632183908046
19.3196901958688 1.94109522502345 4 gamma 14 gwa-t1 bot_user_iat 30 0.172413793103448
13.8398579787682 1.2921860479611 5 gamma 14 gwa-t1 bot_user_iat 13 0.074712643678161
24.1360485446727 2.69075884691428 6 gamma 14 gwa-t1 bot_user_iat 34 0.195402298850575
13.4506059290952 1.10021344280687 7 gamma 14 gwa-t1 bot_user_iat 4 0.0229885057471264
