id;regiao;estado;sigla;vitoria_;usa_twitter_;sent_twitter_;usa_instagram_;sent_instagram_;anos_;foi_diretor_;foi_coordenador_;foi_fg_;publicacoes_twitter_;seguidores_twitter_;seguindo_twitter_;publicacoes_instagram_;seguidores_instagram_;seguindo_instagram_
95;Sudeste;Rio de Janeiro ;IF;S;S;0,168181818;S;0,040787879;27,76;S;N;N;1;3;0;845;1868;73
96;Sudeste;Rio de Janeiro ;IF;N;N;;N;;27,88;S;N;N;;;;;;
97;Sudeste;Rio de Janeiro ;IF;N;S;0;S;0,85;25,55;N;S;S;0;0;13;1;70;130
98;Sudeste;São Paulo;IF;N;N;;S;0;16,87;N;S;S;;;;0;86;38
99;Sudeste;São Paulo;IF;S;S;0;S;0;34,99;S;N;N;0;2;138;0;23;9
100;Sudeste;São Paulo;IF;N;N;;N;;14,58;S;S;N;;;;;;
101;Sul;Paraná;IF;S;N;;S;0,358217593;25,91;S;N;N;;;;303;3855;112
102;Sul;Paraná;IF;N;S;0;S;0,24469697;29,05;S;N;N;0;7;22;357;1941;1167
103;Sul;Paraná;IF;S;S;0,197033163;S;0,15959596;11,92;S;N;N;164;24;21;290;1406;2091
104;Sul;Paraná;IF;N;S;0;S;0;9,66;N;N;N;17;30;52;136;343;439
105;Sul;Paraná;IF;N;S;0;S;0;13,31;S;N;S;0;0;12;0;213;0
106;Sul;Rio Grande do Sul;IF;S;N;;S;0,305153883;14,29;S;N;N;;;;270;1221;562
107;Sul;Rio Grande do Sul;IF;N;S;0;S;0;12,80;S;N;N;0;8;1;43;318;374
108;Sul;Rio Grande do Sul ;IF;S;S;0;S;0,213990406;14,80;N;N;N;0;10;2;163;1102;908
109;Sul;Rio Grande do Sul ;IF;N;S;0;S;0,567045455;25,43;S;N;N;0;5;11;76;714;614
110;Sul;Rio Grande do Sul ;IF;S;S;0;S;0,43474026;29,38;S;N;N;0;19;7;16;522;33
111;Sul;Santa Catarina;IF;S;S;0,165110012;S;0,220502165;11,55;S;N;S;375;293;616;58;1630;4131
112;Sul;Santa Catarina;IF;N;S;0,175;S;0,490869048;40,19;S;N;S;8;29;77;13;1373;1498
113;Sul;Santa Catarina;IF;N;N;;S;0,436904762;9,44;N;S;S;;;;75;869;659
114;Sul;Santa Catarina;IF;N;S;-0,010606061;N;;32,47;S;N;S;14;10;120;93;1256;1476
115;Sul;Santa Catarina;IF;N;N;;N;;11,28;N;S;S;;;;;;
116;Sul;Santa Catarina;IF;N;N;;N;;8,16;N;N;N;;;;;;
117;Sul;Santa Catarina;IF;S;S;0;N;;27,43;S;N;S;0;5;90;;;
118;Centro-Oeste;Distrito Federal;UF;S;N;;N;;26,07;S;N;N;;;;311;1882;257
119;Centro-Oeste;Distrito Federal;UF;N;N;;N;;13,82;N;N;S;;;;;;
120;Centro-Oeste;Distrito Federal;UF;N;N;;N;;32,01;S;N;N;;;;;;
121;Centro-Oeste;Distrito Federal;UF;N;N;;N;;12,79;S;S;N;;;;;;
122;Centro-Oeste;Mato Grosso do Sul;UF;N;N;;N;;8,82;S;N;S;;;;;;
123;Centro-Oeste;Mato Grosso do Sul;UF;N;N;;N;;13,35;N;S;N;;;;;;
124;Centro-Oeste;Mato Grosso do Sul;UF;N;S;0,27;S;0,00;12,88;S;N;N;85;69;89;0;173;131
