id;regiao;estado;sigla;vitoria_;usa_twitter_;sent_twitter_;usa_instagram_;sent_instagram_;anos_;foi_diretor_;foi_coordenador_;foi_fg_;publicacoes_twitter_;seguidores_twitter_;seguindo_twitter_;publicacoes_instagram_;seguidores_instagram_;seguindo_instagram_
189;Nordeste;Rio Grande do Norte;UF;N;S;0,00;S;0,00;10,75;S;N;N;0;37;15;176;1539;1535
190;Nordeste;Rio Grande do Norte;UF;N;S;0,12;S;0,00;14,83;S;S;S;52;297;103;0;4;0
191;Nordeste;Rio Grande do Norte;UF;S;N;;S;;11,05;S;N;S;;;;;;
192;Nordeste;Rio Grande do Norte;UF;N;S;0,11;S;0,40;34,16;N;N;N;53;6225;8949;260;1705;3287
193;Nordeste;Rio Grande do Norte;UF;N;N;;N;;14,83;S;N;N;;;;;;
194;Norte;Roraima;UF;S;S;0,19;S;0,29;4,76;N;N;N;0;4;7;178;285;150
195;Norte;Roraima;UF;N;N;;N;;27,64;S;S;S;;;;;;
196;Norte;Roraima;UF;N;S;-0,19;N;;26,76;N;N;N;5;100;27;92;389;341
197;Norte;Roraima;UF;N;N;;S;0,00;14,77;S;N;S;;;;0;625;603
198;Norte;Acre;UF;S;N;;N;;24,21;S;N;N;;;;;;
199;Norte;Acre;UF;N;N;;S;0,00;15,41;S;N;N;;;;471;1139;868
200;Norte;Amapá;UF;N;N;;N;;;;;;;;;;;
201;Norte;Amapá;UF;S;N;;N;;24,51;N;S;N;;;;;;
202;Norte;Amapá;UF;N;N;;S;0,22;10,03;N;N;N;;;;1;291;15
203;Norte;Amazonas;UF;N;N;;N;;30,86;S;N;N;;;;;;
204;Norte;Amazonas;UF;N;N;;N;;;;;;;;;;;
205;Norte;Amazonas;UF;S;N;;N;;22,96;S;N;S;;;;;;
206;Norte;Pará;UF;S;N;;N;;17,11;S;N;N;;;;;;
207;Norte;Pará;UF;N;N;;N;;8,74;S;N;N;;;;;;
208;Norte;Pará;UF;N;S;0,00;N;;21,50;S;N;N;0;14;;;;
209;Norte;Pará;UF;N;N;;N;;11,10;S;N;S;;;;;;
210;Norte;Pará;UF;N;N;;N;;27,31;S;N;S;;;;;;
211;Norte;Pará;UF;S;S;0,28;S;0,26;36,03;S;N;N;245;1313;2938;194;3358;1011
212;Norte;Pará;UF;N;S;0,00;S;0,00;14,79;S;N;N;0;0;1;1;167;179
213;Norte;Tocantins;UF;S;N;;S;0,00;18,08;S;N;N;;;;53;439;17
214;Norte;Tocantins;UF;N;N;;S;0,22;10,78;N;S;S;;;;151;1898;1924
215;Norte;Pará;UF;S;N;;N;;21,43;S;N;N;;;;;;
216;Norte;Pará;UF;N;N;;S;0,00;44,59;S;N;N;;;;0;88;8
217;Norte;Pará;UF;N;N;;S;0,00;18,86;S;N;N;;;;120;77;101
218;Norte;Pará;UF;N;N;;N;;14,68;N;S;N;;;;;;
219;Norte;Pará;UF;N;S;0,23;N;;8,48;S;N;N;1;39;4;;;
220;Norte;Pará;UF;S;N;;N;;14,44;S;N;N;;;;;;
221;Norte;Pará;UF;S;N;;N;;27,26;S;N;S;;;;;;
222;Sudeste;Minas Gerais;UF;N;N;;N;;;;;;;;;;;
223;Sudeste;Minas Gerais;UF;N;N;;N;;25,79;N;N;S;;;;;;
224;Sudeste;Minas Gerais;UF;S;N;;N;;10,94;S;N;N;;;;;;
225;Sudeste;Minas Gerais;UF;N;N;;N;;27,89;N;N;N;;;;;;
226;Sudeste;Minas Gerais;UF;S;N;;N;;22,36;N;N;S;;;;;;
227;Sudeste;Minas Gerais;UF;N;N;;S;0,00;34,92;S;N;N;;;;0;129;18
228;Sudeste;Minas Gerais;UF;N;N;;S;0,44;11,20;S;N;N;;;;13;189;60
229;Sudeste;Minas Gerais;UF;S;N;;N;;29,90;S;N;S;;;;;;
230;Sudeste;Minas Gerais;UF;N;N;;N;;27,21;S;N;S;;;;;;
231;Sudeste;Minas Gerais;UF;N;N;;N;;23,97;S;N;N;;;;;;
232;Sudeste;Minas Gerais;UF;N;N;;S;0,00;43,11;N;S;N;;;;0;50;13
233;Sudeste;Minas Gerais;UF;S;N;;S;0,00;23,91;N;;;;;;0;52;0
234;Sudeste;Minas Gerais;UF;N;N;;N;;25,28;S;N;N;;;;;;
235;Sudeste;Minas Gerais;UF;S;N;;N;;26,48;S;N;N;;;;;;
236;Sudeste;Minas Gerais;UF;N;S;-0,29;N;;28,87;S;N;S;26;5;1;193;131;276
237;Sudeste;Minas Gerais;UF;S;N;;S;0,00;;;;;;;;34;78;66
238;Sudeste;São Paulo;UF;N;N;;N;;28,97;N;S;S;;;;;;
239;Sudeste;São Paulo;UF;S;N;;N;;29,36;S;N;S;;;;;;
240;Sudeste;São Paulo;UF;N;N;;S;0,00;19,32;S;N;N;;;;1;219;1
241;Sudeste;Minas Gerais;UF;S;N;;N;;14,83;S;N;N;;;;;;
242;Sudeste;Minas Gerais;UF;N;N;;N;;31,72;N;N;N;;;;;;
243;Sudeste;Minas Gerais;UF;N;N;;N;;31,69;S;N;N;;;;;;
244;Sudeste;São Paulo;UF;S;N;;S;;28,82;S;N;N;;;;;;
245;Sudeste;São Paulo;UF;N;N;;N;;46,53;N;N;S;;;;;;
246;Sudeste;São Paulo;UF;N;N;;S;;;;;;;;;;;
247;Sudeste;Minas Gerais;UF;N;N;;S;;12,65;S;N;S;;;;;;
248;Sudeste;Minas Gerais;UF;N;S;0,67;N;;13,26;S;N;S;0;20;13;;;
